tweet_id_str,date_time,location,tweet_text,media_urls
1844107588683825287,Wed Oct 09 20:08:05 +0000 2024,India,"moment etched heart forever flying hon ble sir mr. ratan tata nyc delhi changed life. humility , grace , values left profound impact me. asked picture end flight , went get , stopped said , captain , throne. ' earned it. came behind humble gesture solidified beliefs leadership. photo meant personal inspiration , today , feel compelled share dedicate gratitude , inspiring melancholy legend whose legacy live on. rest peace , mr. tata. legacy lives , heart hearts billions ' touched worldwide. #ratantata #rip",
1844316112072343987,Thu Oct 10 09:56:41 +0000 2024,India,"saddened hear passing ratan tata sir. unmatched vision , humility kindness continue inspire generations. heartfelt condolences tata family difficult time .",
1844080823303274539,Wed Oct 09 18:21:44 +0000 2024,India,r.i.p legend #ratantata,
1844729801208201529,Fri Oct 11 13:20:32 +0000 2024,India,rip ratan tata ji,
1844298157896900697,Thu Oct 10 08:45:20 +0000 2024,India,"memoriam mr. ratan naval tata , leader whose compassion vision live hearts millions .",
1844090726143123907,Wed Oct 09 19:01:05 +0000 2024,India,"autobiography , ratan sir shared would like remembered legacy #ratantata",
1844279774187040979,Thu Oct 10 07:32:17 +0000 2024,India,today .... whole nation cried ! #ratantata #ratantatasir #antimdarshan,
1844392983510319303,Thu Oct 10 15:02:09 +0000 2024,India,"varanasi , uttar pradesh tribute #ratantata held ganga aarti dashashwamedh ghat. thousands , including foreign tourists , participated lighting 51 lamps observing two minutes silence honour contributions legacy .",
1844369111708729408,Thu Oct 10 13:27:17 +0000 2024,India,#respect . sir ratan tata,
1559802112669728768,Wed Aug 17 07:19:38 +0000 2022,India,"man hurts see get old. still unstoppable , still smiling still thoughtful #ratantata",
1844204688905994466,Thu Oct 10 02:33:56 +0000 2024,India,heaven received precious soul today #ratantatapassedaway #ratantata #restinpeace #ratantatasir #,
1844247057256829116,Thu Oct 10 05:22:17 +0000 2024,India,three generations tatas shri jamsetji tata shri jrd tata shri ratan tata #legends #india,
1844595071376818577,Fri Oct 11 04:25:10 +0000 2024,India,"#ratantata world ' biggest donor. donated 829,734 crore. built multiple free hospitals , schools saved millions lives. death , whole world crying. unheard instances mr. tata make cry",
1844059013325128104,Wed Oct 09 16:55:04 +0000 2024,India,rip ratan tata sir #ratantata,
1844055099699790125,Wed Oct 09 16:39:31 +0000 2024,India,#ratantata cheated millions indians 3rd class cars,
1845122690677604560,Sat Oct 12 15:21:44 +0000 2024,India,? #ratantata,
1844423298937127124,Thu Oct 10 17:02:36 +0000 2024,India,even thor farewell ratan tata sir ! captured #mumbairains,
